news_id	date	text
12	2019-01-19T07:26:51	A 19-year-old student in Namiwawa Township in Blantyre died on Thursday afternoon after being washed away in Mudi River while coming from school.Confirming the development was Blantyre police deputy publicist Sub Inspector Dorrah Chathyoka who identified the victim as Jimmy Banda, a Form 3 student at Tate Private Secondary School.Sub Inspector Chathyoka said Banda met his fate while coming from school on Thursday afternoon.She said upon reaching Mudi River, Banda, who was with his friend, noticed that the river was swollen following heavy rainfall that hit in the area.The two attempted to cross but ended up being washed away.Banda went missing while his friend got rescued by a security guard who was chopping wood nearby.Police from Chilomoni rushed to the scene and embarked on a search for the missing student. The survivor was taken to hospital.Banda was found dead on Friday and his body was taken to Queen Elizabeth Central Hospital for a post-mortem.Jimmy Banda was from Manyowe in the area of Traditional Authority Kuntaja in Blantyre District.Meanwhile, police have urged the public not to cross flooded rivers whether sober or not.Flood victims surviving on pumpkins.
13	2019-04-07T23:07:45	Flood victims have appealed for more support saying they are surviving on pumpkins in their camps in Phalombe district.The victims made Malawi24 after Malawi Environmental Health Association (MEHA) donated some Water and sanitation hygiene (WASH) related items to victims staying at Ming’ambo Primary School.Lidia Fadweck who is one of the victims whose house was destroyed by the heavy rains said they are facing a lot of challenges at their camp such as bed bugs and lack of the food as they are depending on pumpkins every day.“We are eating pumpkins daily which we get after doing some piece works in other peoples’ gardens around here. We are in need of food and other kitchen utensils.“We are thanking MEHA for this support and we are also asking for help from other well-wishers to help us with pesticides to kill bed bugs which are here," she said.The Head Teacher of the school, Mavuto Mumderanji, said there are over 400 people living at the camp where issues to do with hygiene and their health seem to be a big challenge.“There are problems here to do with hygiene, you can see that we don’t have enough toilets. Learners and the victims are sharing the same toilets. “However with these items we know that some of these problems will be reduced," he said.Mumderanji added that the victims are being accommodated in five blocks but they are forced to move out in the morning up to afternoon and seek shelter under trees during the school days to let the learners use them for their lessons.Vice President for MEHA, Penjani Chunda, told this publication that they thought that they should not be only be teaching people about hygiene but also help these people with WASH related items which include soap, water guard and buckets.“As an association we were moved after hearing what happened to people here therefore we thought that apart from civic education which we provide about environmental health also we should help our friends with WASH related items, so we asked our members to do something, we collected money which we used to buy these things.“This is just a beginning and we hope that we will do more in order to assist our friends who are struggling due to the heavy rains which this country experienced," he said.MEHA is a body which is made up of environmental health officers serving both in government and private sector.Excluded teachers flood DEM offices for promotion claims.
14	2019-04-11T03:56:19	Primary and secondary school teachers are flooding District Education Managers (DEM) offices to file complaints after being overlooked for promotion.A visit by this reporter to DEMs offices in Lilongwe saw teachers in their large numbers filling forms which have been provided with a hope that that their names would be included in the fresh list yet to be released after the first one had errors such as inclusion of deceased, retired, and resigned teachers.The Ministry of Education, Science and Technology, Principal Secretary, Justin Saidi, attributed the error to an electronic system with assurance that the coming clean list will have all the problems rectified and give a chance to other teachers who were left out to find their way in.One of the teachers who did not want to be named said government would have done better by promoting teachers who were employed in 1994 in their cohorts saying even though some were promoted to PT3 grades, more are still at PT4 and there is need to push those at PT3 to PT2 to create space to those coming from PT4 grade.Chitsamiro said the 1994 teachers have spent 25 years at one grade describing it as an insult saying even these promoted will retire at PT3, a clear testimony that government has to shame itself.She asked government to come up with a convincing explanation on the criteria used to select 1,549 primary and 4,719 secondary school teachers for promotions to dismiss claims which are being made that promotions coming ahead of elections are politically driven for teachers to vote for party in government.The teacher warned government that if it fails to treat the issue of promotions in the interest of all teachers who deserve promotions, it should start packing up as teachers will not give it their votes for it to rule the country up to 2024.Teachers Union of Malawi (TUM) Secretary General, Charles Kumchenga said the Union is holding discussions with government on the way forward as it has been receiving complaints relating to the promotions noting that some names of teachers are appearing twice.Civil Society Education Coalition (CSEC) Executive Director, Benedicto Kondowe, said government could have taken time to release the names of teachers promoted alleging that the whole process was rushed through.The Ministry of Education, Science and Technology last promoted 12,000 teachers in 2013 during the reign of the Peoples Party government under Dr. Joyce Banda as President barely a year to the May,20, 2014 tripartite elections and 20,210 teachers have found their way for promotions a months before the May, 21,2019 tripartite elections.US donates K3 billion for disaster relief.
15	2019-04-11T12:16:09	The United States has donated to Malawi government US$4.3 million (about K3.1 billion) towards Malawi’s flood disaster recovery operations.This is according to US Ambassador to Malawi Virginia Palmer who announced the donation on Wednesday, 10th April, 2019.Palmer, who is also the head of the diplomatic corps in Malawi, made the announcement in Nsanje District when she and her fellow diplomats visited Bangula Admarc Camp.“We will contribute US$4.3 million funds for recovery, and we believe that the funds will address a big chunk of the deficit on the flood recovery plan," said Palmer.The US ambassador said they thought of visiting the camp to appreciate the situation on the ground following the March, 2019 floods which left over 89,000 people displaced in 15 districts of the country.She said her government is concerned about the floods which killed over 60 people and left thousands Malawians displaced.In his remarks, Minister of Homeland Security Nicholas Dausi, who is also responsible for disaster management affairs, thanked the US Government for the donation.“The affected people will not reside in camps forever. They have to go back home and rebuild their lives. This (donation) will go a long way towards reconstructing houses of the affected people," said Dausi.Blantyre Press Club donates to Chikwawa flood victims.
16	2019-04-13T10:43:01	A grouping of journalists from Malawi’s southern region under the tag Blantyre Press Club (BPC), has donated different items to flood victims in Chikwawa.The development follows a fundraising show which was hosted by Malawi’s reggae giants, the Black Missionaries, at the Mibawa multipurpose in Blantyre.The show raised money mounting to K1.2 million which helped the club to have a successful donation on Wednesday, April 10 in Chikwawa district as planned.A team of 15 journalists who represented the entire grouping, led by the club’s president Blessings Kanache, visited Nyamphota, Turo and Sekeni camps in the district where they reached over 2000 flood victims.According to Kanache, after raising K1.2 through the show, the club also managed to collect money and other items from its members and other well-wishers making the whole donation of K3.5 million worth items.“As Blantyre Press Club, we thought of coming here to donate to people who have been affected by floods in this area because being part of the community we saw it right to assist our relatives who has been affected by these floods.“We are happy that we have reached 1500-2000 people in three camps and we have given every household 5kgs of flour, soya pieces, soap, clothes and knowing that in the comps there are more school children, we also gave them note books and pens," said Kanache.Kanache thanked The Black Missionaries, Mibawa television and all parties who partnered with BPC for this successful donation and urged well-wishers to take part in helping flood victims claiming there is a lot of support being needed at the camps.Reacting to the donation, Chikwawa district council principal social welfare officer Paul Simfukwe thanked the grouping for the donation and said this is a leading light to all other groupings in the country.Simfukwe then urged all other well-wishers not to hesitate with their support claiming people in the district and all other areas where they got affected by floods are really suffering and said there is a lot being desired.He added that in the district, 15000 households consisting 68000 people were affected by the floods.Floods displace 328 households, damage rice in Karonga.
17	2019-04-13T14:45:27	Heavy rains which fell on Tuesday and Wednesday in Karonga district have damaged rice crops and displaced 328 households.The rains burst Lufilya River the district which caused nine villages to be under water.According to Karonga District Council’s acting director of planning and development (DPD) Isaac Mkandawire, a  preliminary assessment report that district civil protection committee (DCPC) carried shows that four villages have been greatly affected around Ngerenge while nine more have been severely hit around Ighembe in the same TA.“There is property and livestock loss due to flash floods that have taken place mainly in TA Kilupula and 40 houses have been destroyed while 70 more have developed cracks.“So far there is no loss of life apart from rice gardens and livestocks that have been washed away," Mkandawire said.He added that the affected families are being accommodated by their relatives and no camp has been set up as DCPC and agricultural district division (ADD) official are jointly on the ground assessing the situation to determine the extent of damage to crops.Meanwhile, group village headman Kalongolera has appealed for emergency help from wishers following the flash floods that have affected several households around Ighembe due to flooding of Kyungu River that in turn made Kakolya and Ntakisi rivers to swell and burst.Kalongolera said people from villages such as Mwambuli, Kalongolera one and two, Mwakyusa and Mwangali have lost their rice and cassava gardens and the effects are severe.“As I am speaking right now the road is impassable. If one wants to cross the river then they have has to use boats," Kalongolera said.Zambia, Rwanda assist Malawi flood victims.
18	2019-04-13T11:39:22	Rwanda and Zambia on Thursday donated K150 million and assorted humanitarian assistance worth K435 million respectively to Malawi for disaster relief.Rwanda’s High Commissioner to Malawi, Monique Mukaruliza presented a cheque of USD $200,000 (K150 million) to the Malawi Government on Thursday saying the gesture is in the spirit of being there for each other in times of need.Minister of Foreign Affairs and International Cooperation, Dr. Emmanuel Fabiano, who received the donation on behalf of government thanked the Rwandan government for stepping in when help was required.The humanitarian assistance from Zambia was presented by Zambian Minister in the office of Vice President Sylvia Chalikosa.The items donated include maize flour, kitchen utensils, clothes, buckets and medical suppliers among others.Chalikosa said Zambian government was shocked to learn that some people had lost lives as a result of the effects of flooding and tropical cyclone Idai.She said the presentation of the assistance has come about after the country was declared a state of disaster with an appeal for emergency humanitarian assistance to the affected communities.The Minister explained Zambian government has managed to source the items in order to support the affected households.“Our support is being extended to Mozambique and Zimbabwe as they were affected with the effects of the tropical cyclone which resulted in flooding in some parts of the two countries," she stated.Chalikosa pointed out that neighbouring countries need to sign Memorandum of Understanding (MoU) on how they could mitigate some of the effects of climate change and disasters in the near future.On his part, Malawi Minister of Homeland Security Responsible for Disaster Management Nicholas Dausi commended Zambian government for response positively by providing humanitarian assistance to affected communities in the country.He said the assistance has come at the right time where affected households are in great need of relief support.“I want to assure you that the assistance that you have provided to Malawi will be used to the intended purpose. The items will surely alleviate some of the suffering the affected communities are going through now," Dausi added.Zambian High Commissioner to Malawi, Dr John Ngwata Phiri observed that the state of affairs in which the displaced communities are living in are not encouraging.He added that humanitarian assistance remains the only hope at this point in time and communities need to be provided with adequate basic needs for their survivor.Principal Secretary and Commissioner for Department of Disaster Management Affairs (DODMA), Wilson Moleni said affected householders still require humanitarian assistance to mitigate their effects of the flooding and tropical cyclone Idai.He said assessment teams have been deplored to the affected districts in order to come up with a comprehensive assessment report to be used in addressing the plight of affected communities. Over 173 camps have been set in the country.Malawi was hit by floods last month that resulted in the deaths of 57 people and left thousands others homeless in 17 districts of the countryFloods displace 878 people in Nkhotakota.
19	2019-04-14T23:23:40	Over 878 people in Nkhotakota have been forced out of their homes following heavy rains which fell from from Wednesday to the wee hours of Saturday.According to the Department of Disaster Management Affairs, the displaced people are mostly from Nthondo, Kasita and Masula Villages in Sub T/A Kalimanjira.They are seeking refuge at Kalimanjira Trading Centre and Mkazimasika School Camps.Principal Secretary and Commissioner for Disaster Management Affairs Wilson Moleni visited the victims and told them that the department will not relent in providing relief assistance to the affected.“We heard about this tragedy yesterday and immediately dispatched some supplies which include maize, to assist them. We realize that when disasters hit, people surely need a lot of support.“Most importantly, we also came to see for ourselves and assess the situation. As government, we will continue to support the affected," said Moleni.The commissioner then appealed to the affected to move uplands as a solution to recurrence of floods in same areas.“I am appealing to you to move to higher and safer areas in the near future to avoid perennial flooding challenges," said Moleni.Moleni’s sentiments were also echoed by Sub/TA Kalimanjira and Acting District Commissioner Greystone Alindiamawo.Youth NGO donates to flood victims.
20	2019-04-19T07:53:04	Tithandizane youth support organization (TIYSO) has donated assorted items to people who lost their property due to floods that recently hit some parts of the southern region.The Balaka based non-profit making organization has intervened by donating maize, beans, kitchen utensils, clothes and beddings all valued at K1.2 million.The organization’s co-founder and executive director Aubrey Duwa said his organization deemed it necessary to donate the items considering the gravity of damage the floods have cause d.Duwa said they assessed the impact of the damage and finally to prioritize the very vulnerable, the sick, the widowed, the elderly, child headed families and the sick.He believes the assistance will go a long way in cushioning the effects of the devastation.“We know that there are a multitude of victims out there that needs urgent attention and support. But our resources are limited. Nonetheless, we believe the assistance they have received today will make a significant impact in one way or another," he explained.Duwa disclosed that his organization has so far constructed a decent house for a victim and very soon they will roll-out construction of five houses for victims whose houses were demolished in the tragedy and are living in destitute conditions.Meanwhile, the organization is calling on the corporate world and all well-wishers to assist with financial support so that they can reach out to more victims.The beneficiaries were randomly drawn from areas of Mpulura, Sawali, Matola and Chiendausiku in Balaka district.One of the beneficiaries is Elles Sangweni from Matola village.  The 56 year old widow recalls how she escaped the jaws of death on the night of 15 March, 2019. Her house collapsed as a result of raging water that made their way into her house. All her crops were washed away, leaving her hopeless and helpless.Since then, she has been living a miserable life as she has nothing to rely on for her daily survival.The visibly dejected woman said the assistance is timely and she can now see light at the end of the tunnel.“It’s like a dream come true receiving this assistance. I never anticipated this kind of gesture and especially from these young men and women. I can now afford a smile," she explained.Malawi was among the three southern African countries that were hit by cyclone Idai. Approximately 850 thousand people were affected in the country.Chikwawa, Nsanje floods victims get Sant’ Egidio support.
21	2019-04-28T13:15:07	Floods victims from Chikwawa and Nsanje districts have receive donation of food items from Sant’ Egidio.Speaking during the distribution of the food items to the victims, Sant’ Egidio National Coordinator, Keegan Mwanguku, said the community will continue supporting people who are vulnerable.“Many of them lost everything that they depend on each day for their survival that is why we thought of mobilizing resources for our friends to show love and that we are equally touched over the impact of the disaster," said Mwanguku.Group Village Head Nthole in Nsanje district commended the community of Sant’ Egidio for their timely support to the victims.“We are thankful for the assistance brought here by Sant’ Egidio, since the time we lost our houses, people are in need of a lot of things" said Nthole.The chief also commended the Community of Saint Egidio for reaching Nsanje floods victims saying many organizations fail to reach the district due to geographical position of Nsanje.Among the items that have been distributed in Nsanje and Chikwawa to flood victims in camps include maize floor, cooking oil, plastic sheets, cloths, mats, water treating chemicals.The donations are also being distributed to Mozambican citizens as reports reveal that there are about 375 families at the camps that are from the neighboring country.Malawi is among countries that were hit by cyclone Idai which left hundreds of households in need humanitarian support.UTM donates food items to flood victims.
22	2019-01-21T17:50:59	UTM has donated food items to people who were affected by floods  in Lilongwe.The party donated the items on Friday after visiting affected areas such as Biwi, Kawale, Area 22 and Mchesi.The items include cooking oil, small bags of flour, candles and blankets.Speaking at the gathering, the party’s General Secretary Patricia Kaliati said some of the victims are sick because of what they experienced.Kaliati then condemned Democratic Progressive Party government for failing to assist the people through the Department of Disaster and Management Affairs when the incident occurred .“We believe that government is supposed to be at forefront whenever these kind of issues occur but to our surprise we heard that the same government came to check the bridge which was washed away instead of putting the needs of the general public at large," she explained.The party’s general secretary asked the beneficiaries not to sell the things but to share with others.On his part, Senior Chief Kalimbo thanked the party for the gesture and support saying it came in time.Kalimbo said although UTM managed to reach 28 households, the total number of the affected people is over 120 households. Woman drowns in flooded river.
23	2019-02-13T03:26:18	A 70-year-old woman identified as Ireen Ngwira has drowned in Mbiriwizi River in Chozoli Rumphi.Ngwira met her fate during morning hours of February 11, 2019, as she was on her way home from a funeral service in the same area.According to police in the district, the river was flooded at the time she was trying to cross.Passers-by found her dead body trapped in the mud along the river bank.Police together with medical officers from Rumphi District Hospital visited the scene of incident.Post-mortem results show that she died of suffocation.Meanwhile, police are urging the public not to attempt crossing flooded rivers to avoid similar incidences.The deceased hailed from Kadoko Village in the area of Traditional Authority Chikulamayembe in the district. Blackouts return: ESCOM says heavy rains to blame.
